FIPS,State,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Population,# not proficient in English,% not proficient in English,Female,Rural,% Diabetic,95% CI - Low,95% CI - High,Population,HIV rate,Sample Size,% Binge Drinking,95% CI - Low,95% CI - High,Physical Inactivity,95% CI - Low,95% CI - High,MPH No.,Population,MPH Rate,MPH Ratio,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free lunch,Population,Illiteracy,95% CI - Low,95% CI - High,Population,Liquor Stores,Liquor Store Rate,No. Drive Alone,Workers,% Drive Alone
17119,Illinois,Madison,268457,22.9,14.2,8.4,0.3,0.7,0,2.3,249962,3132,1.3,51.5,14.4,9,8,11,223231,87,918,23,19,27,26,22,30,34,267839,13,7878:01:00,51207,49010,53404,28575,104438,27,31,202835,6.8,3.2,12.6,267839,12,4,106035,123930,86
17121,Illinois,Marion,39008,23.7,17.8,3.9,0.3,0.7,0,1.2,36937,268,0.7,51.7,41.7,9,7,11,33156,66,174,16,9,25,28,23,35,5,39422,13,7884:01:00,41759,38539,44979,4416,15844,28,44,31313,8.5,4,15.4,39422,10,25,13989,17148,82
17123,Illinois,Marshall,12702,22.8,18.9,1.1,0.3,0.3,0,2.7,12108,132,1.1,50.4,80.7,9,7,11,10916,46,65,,,,28,22,36,0,12745,0,12745:0,50701,45447,55955,1313,5278,25,27,10245,7.6,3.6,13.7,12745,1,8,4532,5919,77
17125,Illinois,Mason,14785,22.9,18.4,0.5,0.3,0.3,0,1.1,14215,167,1.2,51,59.7,9,7,11,12840,,79,11,5,24,28,22,36,2,14965,13,7483:01:00,42022,37699,46345,1468,6151,24,34,12495,8.8,4.2,15.9,14965,1,7,5329,6474,82
17127,Illinois,Massac,14970,23.1,17.4,6.2,0.3,0.3,0,1.4,14130,70,0.5,51.9,49.5,10,8,12,12612,71,64,3,1,13,27,21,34,0,15027,0,15027:0,38735,34205,43265,1666,6271,27,41,11829,9.2,4.4,16.7,15027,1,7,5347,6248,86
17129,Illinois,Menard,12466,23.5,15.2,1.1,0.3,0.2,0,1.3,11740,29,0.2,50.6,75.2,8,7,11,10584,,54,,,,25,19,33,2,12546,16,6273:01:00,57884,51458,64310,1094,4985,22,18,9810,6.9,3.2,12.6,12546,0,0,4922,6307,78
17131,Illinois,Mercer,16276,22.6,18.2,0.8,0.1,0.3,0,1.8,15553,79,0.5,50.3,78.8,9,7,11,14068,50,100,,,,26,20,33,0,16465,0,16465:0,51437,45490,57384,1450,6583,22,21,13356,7.5,4.3,12.7,16465,0,0,6445,7985,81
17133,Illinois,Monroe,33236,24.5,13.3,0.9,0.2,0.4,0,1.3,30298,431,1.4,50.3,44.4,8,6,10,27017,44,110,15,9,24,27,21,34,1,32871,3,32871:1,70904,64394,77414,3053,11690,26,9,23067,5.4,2.5,10.1,32871,1,3,13457,16456,82
17135,Illinois,Montgomery,29500,21.1,17.4,4.2,0.3,0.3,0,1.4,28205,350,1.2,48,47.1,9,7,11,25491,475,116,16,8,28,27,22,34,1,29704,3,29704:1,41358,36779,45937,2703,10832,25,31,22349,9.9,4.7,17.8,29704,1,3,10119,12413,82
17137,Illinois,Morgan,34897,21,16.2,5.7,0.2,0.7,0,1.8,33351,107,0.3,49.9,35.8,9,7,11,30297,158,136,18,11,29,27,21,34,4,35147,11,8787:01:00,45944,41667,50221,3310,13560,24,35,26465,8.6,4.1,15.4,35147,3,9,12965,16288,80
17139,Illinois,Moultrie,14392,24.7,17.2,0.8,0.2,0.3,0,0.9,13451,390,2.9,51.1,68.2,9,7,11,11954,,57,,,,27,21,34,0,14376,0,14376:0,48447,43636,53258,992,5323,19,25,10931,8.2,3.9,15.1,14376,1,7,5230,6626,79
17141,Illinois,Ogle,55336,24.6,14.5,1.3,0.3,0.5,0,9.2,51662,1860,3.6,50.1,48,8,7,10,46181,30,196,20,14,27,27,22,34,2,55289,4,27645:1,56452,52307,60597,5336,19776,27,17,40687,8.6,4.1,15.5,55289,4,7,20732,26155,79
17143,Illinois,Peoria,185816,24.4,13.9,17.4,0.3,2.7,0,3.1,170379,2919,1.7,51.7,15,10,8,12,150660,148,593,14,11,18,26,22,30,58,183810,32,3169:01:00,49634,46762,52506,20399,72771,28,36,136042,8.1,3.8,14.8,183810,13,7,70571,84878,83
17145,Illinois,Perry,22424,20.7,15.4,8.7,0.3,0.3,0,2.1,21332,242,1.1,46.2,55.7,9,7,11,19407,196,80,,,,27,21,35,0,22466,0,22466:0,41224,37347,45101,1941,8248,24,32,16563,9.9,4.7,17.7,22466,1,4,7097,8620,82
17147,Illinois,Piatt,16550,24,16.7,1,0.1,0.4,0,1.2,15575,114,0.7,50.4,68.6,9,7,11,13946,43,68,,,,28,22,36,1,16493,6,16493:1,59515,53265,65765,1204,6436,19,18,12927,6.5,3.1,11.9,16493,0,0,6639,8244,81
17149,Illinois,Pike,16273,22.3,19.3,1.6,0.2,0.3,0,0.9,15532,144,0.9,50.2,76,9,7,11,14162,,68,,,,26,20,33,0,16391,0,16391:0,40205,36402,44008,1336,6446,21,30,13080,9.9,4.7,17.8,16391,1,6,5824,7454,78
17151,Illinois,Pope,3991,18.1,21.1,4.5,1,0.3,0,1.3,3955,0,0,49.7,100,10,8,12,3653,,17,,,,28,21,36,0,4041,0,4041:00:00,38071,33761,42381,365,1645,22,39,3416,8.8,4.2,16,4041,0,0,1214,1577,77
17153,Illinois,Pulaski,6218,24.2,15.9,30.3,0.2,1.1,0,2.1,6078,164,2.7,52.3,100,11,9,14,5407,111,25,,,,29,23,37,0,6305,0,6305:00:00,31261,27457,35065,877,2682,33,66,5217,12.9,6.1,23.1,6305,0,0,1813,2238,81
17155,Illinois,Putnam,6009,22,17.7,0.8,0.4,0.3,0,4.7,5631,47,0.8,50,100,9,7,12,5154,,24,,,,27,21,35,0,5994,0,5994:00:00,57786,51905,63667,541,2477,22,21,4876,7.6,3.6,13.9,5994,0,0,2317,2946,79
17157,Illinois,Randolph,32686,20.8,15.8,9.4,0.2,0.3,0,1.8,31147,240,0.8,45.9,42.9,8,7,10,28019,278,119,,,,27,21,34,2,32728,6,16364:1,45276,40867,49685,2597,11626,22,31,23764,10.6,5.1,19.1,32728,3,9,10820,13004,83
17159,Illinois,Richland,15523,22.3,19.7,0.7,0.2,0.6,0.1,1.2,14691,167,1.1,51.4,46,10,8,12,13247,,77,,,,27,21,33,4,15456,26,3864:01:00,39267,34636,43898,1712,6736,25,32,12576,7.1,3.3,13.2,15456,5,32,6035,7246,83
